Page,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/dataset/covid-19--support-for-businesses,"1,176","1,113",00:04:31,93.23%,91.84%
/dataset/public-health-funerals,811,772,00:00:10,93.67%,93.46%
/dataset/food-banks----free-meals-in-calderdale-?resource=d350594c-d24a-43ce-b078-ecf92c89a74f,144,127,00:06:14,90.40%,84.72%
/dataset/salary-scales,118,101,00:03:00,81.72%,81.36%
/dataset/covid-19-cases,86,70,00:05:17,85.45%,67.44%
/dataset/food-banks----free-meals-in-calderdale-,83,73,00:05:14,89.71%,83.13%
/dataset/calderdale-business-properties---complete-list,70,66,00:05:22,85.45%,85.71%
/dataset/population-estimate,64,56,00:07:10,93.75%,71.88%
/dataset/recycling-and-household-waste?resource=7dc08077-71f2-49c7-be4f-b1fe6ac3b4aa,56,50,00:01:20,83.67%,85.71%
/dataset/park-ward,53,46,00:02:33,75.68%,71.70%
/dataset/small-business-rate-relief,50,47,00:02:00,84.78%,84.00%
/dataset/public-rights-of-way,43,41,00:10:18,92.50%,93.02%
/dataset/business-rates-accounts-in-credit,42,42,00:17:50,76.19%,76.19%
/dataset/councillor-allowances-and-expenses,41,33,00:01:54,84.38%,73.17%
/dataset/salary-scales?resource=ed2af35d-4de2-41ca-a98b-5132d2ec660a,39,36,00:01:44,89.66%,92.31%
/dataset/children-in-low-income-families,35,30,00:01:46,50.00%,45.71%
/dataset/council-performance,32,26,00:01:27,70.83%,68.75%
/dataset,31,28,00:04:01,72.22%,58.06%
/dataset/workforce-profile,28,21,00:02:26,75.00%,53.57%
/dataset/active-calderdale-ward-profile,26,22,00:02:43,88.89%,76.92%
/dataset/lower-super-output-areas-by-postcode,26,26,00:04:55,77.27%,73.08%
/dataset/brownfield-land-register,25,23,00:04:52,75.00%,76.00%
/dataset/senior-salaries,25,24,00:08:38,78.95%,76.00%
/dataset/pay-policy,23,18,00:01:10,52.94%,52.17%
/dataset/schools-list,23,21,00:00:18,85.00%,82.61%
/dataset/food-hygiene-ratings-for-calderdale,22,19,00:05:13,84.21%,86.36%
/dataset/public-health-data-by-ward,22,20,00:03:10,80.00%,77.27%
/dataset/metro-cards-use-and-savings?q=met,19,11,00:04:27,62.50%,42.11%
/dataset/covid-19–support-for-businesses,18,14,00:01:35,66.67%,72.22%
/dataset/licensed-houses-of-multiple-occupation-register,18,17,00:02:58,94.12%,94.44%
/dataset/council-tax-charges-calderdale?resource=dfd8f570-dbb2-43d3-bebc-9269ce8aaa14,17,16,00:00:09,93.75%,94.12%
/dataset/tree-preservation-orders,17,17,00:01:41,94.12%,94.12%
/dataset/school-admissions---allocations---primary-schools,16,14,00:08:13,70.00%,50.00%
/dataset/todmorden-ward,16,14,00:01:32,63.64%,56.25%
/dataset/warley-ward,15,13,00:03:11,66.67%,53.33%
/dataset/air-quality-monitoring-station-data---air-quality-station-3-market-street--hebden-bridge,14,11,00:03:47,50.00%,57.14%
/dataset/brighouse-ward,14,12,00:02:49,77.78%,64.29%
/dataset/calder-ward,14,12,00:05:00,50.00%,42.86%
/dataset/calderdale-accident-data-,14,12,00:07:02,83.33%,85.71%
/dataset/economic-ward-profile,14,12,00:06:46,60.00%,57.14%
/dataset/planning-applications-calderdale,14,13,00:01:06,90.91%,92.86%
/dataset/northowram-and-shelf-ward,13,9,00:01:08,40.00%,46.15%
/dataset/perception-survey,13,12,00:01:07,100.00%,69.23%
/dataset/ryburn-ward,13,13,00:01:41,70.00%,61.54%
/dataset/calderdale-imd-2015-results-at-lsoa--neighbourhood-and-ward,12,9,00:05:13,66.67%,41.67%
/dataset/conservation-areas,12,12,00:00:48,90.91%,91.67%
/dataset/empty-properties,12,12,00:00:00,100.00%,100.00%
/dataset/staff-count---people,12,11,00:04:28,100.00%,66.67%
/dataset/illingworth-and-mixenden-ward,11,10,00:01:42,42.86%,45.45%
/dataset/primary-schools---free-school-meals,11,11,00:00:38,100.00%,54.55%
/dataset/pupils-on-roll-by-ward,11,10,00:00:35,0.00%,27.27%
/dataset/secondary-school-preferences-and-allocations-by-school,11,5,00:02:21,50.00%,36.36%
/dataset/early-years-foundation-stage-profile--eyfsp-,10,10,00:03:54,100.00%,50.00%
/dataset/northern-powergrid---substation-demand-data-for-calderdale,10,7,00:07:52,66.67%,50.00%
/dataset/salary-scales/resource/ed2af35d-4de2-41ca-a98b-5132d2ec660a,10,10,00:00:05,40.00%,40.00%
/dataset/sowerby-bridge-ward,10,10,00:02:01,83.33%,80.00%
/dataset?q=&tag=monitoring,9,9,00:00:39,66.67%,66.67%
/dataset/allotments-calderdale?resource=9c1987df-9236-4c43-b230-259bbc8e859f,9,7,00:00:30,71.43%,77.78%
/dataset/calderdale-imd-2019-results,9,9,00:11:29,100.00%,66.67%
/dataset/covid-19--support-for-businesses?fbclid=IwAR30CYxwPdcbKBof723Vksx-T370cyw9ISmD_7nOEr-tC-ZPD6JdBdRqxuQ,9,9,00:00:00,100.00%,100.00%
/dataset/free-school-meals-by-ward---primary-schools,9,9,00:05:48,0.00%,33.33%
/dataset/local-wildlife-sites,9,6,00:00:46,33.33%,55.56%
/dataset/neighbourhood-ward-profile,9,9,00:01:30,50.00%,44.44%
/dataset/secondary-schools---free-school-meals,9,8,00:00:21,75.00%,33.33%
/dataset?tag=food bank,8,6,00:00:59,80.00%,62.50%
/dataset/air-quality-monitoring-station-data---air-quality-station-4--wharf-street--sowerby-bridge,8,7,00:09:28,20.00%,50.00%
/dataset/fire-incidents,8,7,00:04:00,85.71%,87.50%
/dataset/gender-pay-gap,8,8,00:03:56,100.00%,75.00%
/dataset/key-stage-1,8,5,00:00:23,0.00%,12.50%
/dataset/phonics,8,7,00:01:34,50.00%,12.50%
/dataset/primary-school-preferences-and-allocations-by-school,8,8,00:00:15,75.00%,50.00%
/dataset/public-toilets-calderdale?resource=0c47982e-8cb9-4ae1-a389-83cefc50f7c7,8,8,00:03:42,85.71%,87.50%
/dataset/schools-data-by-ward,8,8,00:00:18,33.33%,37.50%
/dataset/staff-count---total-number-of-people,8,6,00:01:42,25.00%,25.00%
/dataset?q=air&tag=monitoring,7,7,00:00:00,100.00%,100.00%
/dataset/inclusive-economy,7,6,00:00:30,100.00%,71.43%
/dataset/luddendenfoot-ward,7,7,00:00:28,83.33%,71.43%
/dataset/organisation-chart,7,7,00:00:00,100.00%,100.00%
/dataset/population-estimates-over-70s,7,7,00:00:14,50.00%,57.14%
/dataset/public-rights-of-way?resource=6d70a05d-60ef-48da-93b8-70f1b493c585,7,5,00:04:04,60.00%,71.43%
/dataset/rastrick-ward,7,7,00:01:05,66.67%,71.43%
/dataset/staff-headcount-fte,7,7,00:04:33,100.00%,28.57%
/dataset/town-ward,7,7,00:00:28,75.00%,57.14%
/dataset/traffic-count,7,6,00:03:17,80.00%,71.43%
/dataset/contracts-calderdale,6,6,00:00:00,100.00%,100.00%
/dataset/cycle-storage?resource=b180776a-fd9e-4c92-b3d4-39bfe012acaf,6,6,00:00:00,100.00%,100.00%
/dataset/flood-data,6,5,00:01:31,100.00%,66.67%
/dataset/food-banks----free-meals-in-calderdale-/resource/d350594c-d24a-43ce-b078-ecf92c89a74f,6,6,00:00:00,100.00%,100.00%
/dataset/greetland-and-stainland-ward,6,6,00:01:03,75.00%,66.67%
/dataset/number-of-pupils-on-roll-in-secondary-schools,6,5,00:00:30,100.00%,33.33%
/dataset/number-of-pupils-on-roll-in-secondary-schools-by-year-group,6,6,00:00:30,100.00%,66.67%
/dataset/school-admissions---allocations---secondary-schools,6,5,00:00:27,33.33%,16.67%
/dataset/senior-salaries?resource=47efeca1-497e-4404-a7df-bee950fc8473,6,6,00:00:00,100.00%,100.00%
/dataset?tag=business,5,5,00:00:00,100.00%,100.00%
/dataset?topics=23658e50-3f58-4884-921c-ac1accfacf2b,5,4,00:05:57,66.67%,40.00%
/dataset/affordable-housing,5,4,00:09:33,100.00%,60.00%
/dataset/councillors,5,5,00:03:46,0.00%,20.00%
/dataset/elland-ward,5,4,00:14:00,0.00%,40.00%
/dataset/ethnicity-by-ward---primary-schools,5,5,00:00:20,100.00%,40.00%
/dataset/exclusions,5,5,00:12:34,100.00%,80.00%
/dataset/free-school-meals-by-ward---secondary-schools-,5,5,00:05:58,50.00%,40.00%
/dataset/jsna,5,4,00:01:04,25.00%,20.00%
/dataset/key-stage-2,5,4,00:02:24,0.00%,20.00%
/dataset/number-of-pupils-on-roll-in-primary-schools,5,5,00:00:05,100.00%,60.00%
/dataset/number-of-pupils-on-roll-in-primary-schools-by-year-group,5,5,00:07:10,66.67%,40.00%
/dataset/ovenden-ward,5,5,00:00:32,33.33%,20.00%
/dataset/primary-and-secondary-school-appeals,5,5,00:01:13,75.00%,60.00%
/dataset/secondary-schools---special-educational-needs--sen-,5,5,00:00:17,0.00%,40.00%
/dataset/sports-classes,5,5,00:00:55,0.00%,20.00%
/dataset?q=Business rates,4,1,00:00:05,0.00%,0.00%
/dataset?tag=planning applications&tag=planning,4,4,00:00:00,100.00%,100.00%
/dataset?tag=population&q=Health,4,4,00:00:00,100.00%,100.00%
/dataset/anti-poverty,4,3,00:05:25,50.00%,25.00%
/dataset/calderdale-data-works-webstats,4,4,00:01:23,50.00%,25.00%
/dataset/citizens-advice,4,3,00:00:24,0.00%,50.00%
/dataset/companies-in-calderdale,4,4,00:00:00,100.00%,100.00%
/dataset/debt-recovery-cases,4,3,00:00:21,100.00%,75.00%
/dataset/defibrillators,4,4,00:00:00,100.00%,100.00%
/dataset/electric-vehicle-charging-points,4,3,00:00:50,50.00%,50.00%
/dataset/income-msoa-profile,4,3,00:00:32,0.00%,25.00%
/dataset/kindness-resilience-2020,4,4,00:09:35,50.00%,75.00%
/dataset/new,4,3,00:12:12,0.00%,25.00%
/dataset/number-of-children-with-child-protection-plans-by-type,4,3,00:23:05,66.67%,75.00%
/dataset/open-postcode-geo2?resource=3d1d0a42-79f7-4ce9-8006-d92df6f4bbec,4,4,00:00:00,100.00%,100.00%
/dataset/primary-schools---special-educational-needs--sen-,4,4,00:00:57,50.00%,25.00%
/dataset/public-toilets-calderdale,4,3,00:02:18,66.67%,75.00%
/dataset/secondary-pupils-on-roll-by-ward-,4,4,00:00:26,0.00%,0.00%
/dataset/skircoat-ward,4,4,00:00:14,0.00%,25.00%
/dataset/staff-headcount---posts,4,4,00:00:52,0.00%,0.00%
/dataset/the-piece-hall,4,4,00:02:21,66.67%,50.00%
/dataset/ward-boundaries-calderdale,4,4,00:03:03,75.00%,75.00%
/dataset/west-yorkshire-mapping,4,4,00:01:05,66.67%,75.00%
/dataset?q=Business,3,1,00:00:04,0.00%,33.33%
/dataset?q=Halifax town,3,3,00:00:00,66.67%,66.67%
/dataset?tag=ratings,3,3,00:00:00,100.00%,100.00%
/dataset/bowling-greens?resource=abad6cb1-6733-41a8-8c4a-6c81af0c74a9,3,3,00:00:00,100.00%,100.00%
/dataset/calderdale-accident-data,3,1,00:00:15,0.00%,0.00%
/dataset/calderdale-tourism---sector-breakdown-of-trip-expenditure,3,3,00:00:00,100.00%,100.00%
/dataset/care-homes,3,3,00:02:36,50.00%,66.67%
/dataset/community-services,3,3,00:06:32,0.00%,33.33%
/dataset/consistent-financial-reporting,3,2,00:00:46,0.00%,0.00%
/dataset/crime-and-safety-data,3,2,00:01:22,50.00%,66.67%
/dataset/ethnicity-by-ward---secondary-schools,3,3,00:00:06,100.00%,33.33%
/dataset/flood-sirens,3,3,00:00:00,100.00%,100.00%
/dataset/hipperholme-and-lightcliffe-ward,3,3,00:00:00,100.00%,100.00%
/dataset/licensed-houses-of-multiple-occupation-register?resource=e6bcb51a-470c-40ad-a9fd-6601f9df565c,3,2,00:02:22,50.00%,66.67%
/dataset/lower-super-output-areas-by-postcode?q=lsoa,3,3,00:00:11,0.00%,66.67%
/dataset/new-business-rates-accounts-created?resource=e516c52a-7446-40eb-a096-e58ad5990a1c,3,3,00:00:25,50.00%,66.67%
/dataset/planning-applications-calderdale?resource=b5603d67-5884-4b1b-b89b-eff11625db0b,3,3,00:04:43,66.67%,66.67%
/dataset/population-estimate?q=population,3,2,00:00:00,0.00%,66.67%
/dataset/primary-school-pupils-ethnicity,3,2,00:03:37,0.00%,0.00%
/dataset/public-wifi-hotspots,3,3,00:00:00,100.00%,100.00%
/dataset/school-cluster-groups,3,3,00:00:00,100.00%,100.00%
/dataset/secondary-schools---pupils-with-english-as-an-additional-language,3,3,00:01:13,0.00%,0.00%
/dataset/section-251-outturn-statements,3,3,00:00:25,100.00%,66.67%
/dataset/senior-salaries?resource=2e6cdd43-a123-49da-bb68-0fd63a1071b8,3,3,00:01:28,33.33%,33.33%
/dataset/sports-centres-and-swimming-pools,3,3,00:00:00,100.00%,100.00%
/dataset/travel-and-subsistence-rates,3,3,00:00:43,66.67%,66.67%
/dataset/traveline,3,3,00:00:10,100.00%,66.67%
/dataset/wildflower-sites,3,3,00:00:00,100.00%,100.00%
/dataset/yorkshire-water-data,3,3,00:00:00,100.00%,100.00%
/dataset?page=27,2,2,00:01:32,0.00%,50.00%
/dataset?q=&tag=Staff Count,2,2,00:00:00,100.00%,100.00%
/dataset?q=busin,2,2,00:00:00,100.00%,100.00%
/dataset?q=business rates,2,2,00:00:00,100.00%,100.00%
/dataset?q=Business Rates,2,2,00:00:00,100.00%,100.00%
/dataset?q=l,2,2,00:00:00,100.00%,100.00%
/dataset?q=Section 251,2,2,00:00:00,100.00%,100.00%
/dataset?tag=business rates,2,2,00:00:00,100.00%,100.00%
/dataset?tag=TPO,2,2,00:00:00,100.00%,100.00%
/dataset?tag=Tree Preservation Orders&format=csv,2,2,00:00:00,100.00%,100.00%
/dataset?tag=Wards,2,2,00:00:00,100.00%,100.00%
/dataset?topics=135d7dcb-aa78-4fca-9a91-597fa8aeae53,2,2,00:00:34,0.00%,0.00%
/dataset/adult-social-care---all-services,2,2,00:08:18,0.00%,0.00%
/dataset/air-quality-monitoring-station-data----air-quality-station-2-salterhebble--halifax,2,2,00:00:00,100.00%,100.00%
/dataset/anti-poverty?resource=76f2cf05-4fd1-4ec8-92e1-e46019a95279,2,1,00:02:53,0.00%,0.00%
/dataset/area-around-todmorden,2,2,00:00:14,0.00%,50.00%
/dataset/blue-badge-applications-and-awards,2,2,00:00:00,100.00%,100.00%
/dataset/breast-feeding-family-friendly-places,2,2,00:00:00,100.00%,100.00%
/dataset/complaints,2,2,00:00:00,100.00%,100.00%
/dataset/council-budget-calderdale,2,2,00:00:00,100.00%,100.00%
/dataset/council-performance?resource=93e34eee-0cde-44e8-b8ec-376c62131a25,2,2,00:00:00,100.00%,100.00%
/dataset/councillor-allowances-and-expenses?resource=74123589-a85e-42bf-bfb3-f093b6a20347,2,2,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR1uuxxSAgeNEed_43-IZhZKf1x9UVxvK1Wowjua6nQlBammuU-BjE6HKi4,2,1,00:00:25,0.00%,50.00%
/dataset/defibrillators?fbclid=IwAR0SFVXCyqGuINgeMK-ZU1VynEUwPd2kUSJ3AJ-BjX-XuvN6CI1KasrFy5U,2,2,00:00:00,100.00%,100.00%
/dataset/defibrillators?resource=054abab5-dba4-4e77-8b65-30350a22fa6b,2,1,00:01:41,0.00%,50.00%
/dataset/dementia-friendly-cafe-s,2,2,00:00:01,100.00%,50.00%
/dataset/diffusion-tube-data,2,2,00:08:35,100.00%,50.00%
/dataset/doctors--surgeries?resource=96d20edb-644c-4f75-ab74-50e440495520,2,2,00:00:00,100.00%,100.00%
/dataset/edit/staff-headcount-fte,2,1,00:02:45,0.00%,0.00%
/dataset/elections-results,2,1,00:05:21,0.00%,0.00%
/dataset/empty-properties?resource=831c14dc-dcee-42f0-b3b0-6146e63f7e90,2,2,00:00:00,100.00%,100.00%
/dataset/fly-tipping?q=fly tippin,2,1,00:00:01,0.00%,50.00%
/dataset/health-and-safety-accident-information?resource=6341f3d1-586e-438a-bfa4-1d88663c86b4,2,1,00:02:16,0.00%,50.00%
/dataset/licensed-dog-and-cat-home-boarders,2,2,00:00:00,100.00%,100.00%
/dataset/licensed-dog-and-cat-home-boarders?resource=610f5447-023c-4d20-bf2c-0b3101d491c6,2,2,00:00:00,100.00%,100.00%
/dataset/listed-buildings,2,2,00:02:13,100.00%,50.00%
/dataset/number-of-households-per-ward,2,2,00:00:00,100.00%,100.00%
/dataset/pedestrian-crossings?resource=ae1e1d09-aee1-4420-97aa-af5abd9a8f29,2,2,00:00:00,100.00%,100.00%
/dataset/places-of-worship-in-calderdale?resource=5ba5a9ac-c9a2-43f1-aecc-068b7b2a0963,2,2,00:00:00,100.00%,100.00%
/dataset/primary-schools---pupils-with-english-as-an-additional-language,2,2,00:00:07,0.00%,0.00%
/dataset/recycling-and-household-waste/resource/7dc08077-71f2-49c7-be4f-b1fe6ac3b4aa,2,2,00:00:00,100.00%,100.00%
/dataset/secondary-school-pupils-ethnicity,2,2,00:01:50,0.00%,0.00%
/dataset/section-251-budget-statements,2,2,00:00:00,100.00%,100.00%
/dataset/state-of-calderdale--build-a-sustainable-future,2,1,00:07:33,0.00%,50.00%
/dataset/timeline/calderdale-accident-data-,2,1,00:00:27,0.00%,50.00%
/dataset?format=bin,1,1,00:00:00,100.00%,100.00%
/dataset?format=csv&format=html&format=zip,1,1,00:00:00,100.00%,100.00%
/dataset?format=csv&q=&topics=1a37b621-4da1-48c6-af62-81adea604b35,1,1,00:00:00,0.00%,100.00%
/dataset?format=csv&topics=e51b19c8-9609-483f-9e0d-d379dd776fc3,1,1,00:00:00,100.00%,100.00%
/dataset?format=csv&topics=e51b19c8-9609-483f-9e0d-d379dd776fc3&page=2,1,1,00:00:03,0.00%,0.00%
/dataset?format=json,1,1,00:00:06,0.00%,0.00%
/dataset?format=spreadsheet&format=csv,1,1,00:08:25,0.00%,0.00%
/dataset?page=28,1,1,00:05:01,0.00%,0.00%
/dataset?q=,1,1,00:00:00,100.00%,100.00%
/dataset?q=&tag=business rates,1,1,00:00:00,100.00%,100.00%
/dataset?q=&tag=Climate Emergency,1,1,00:00:26,0.00%,0.00%
/dataset?q=&tag=Climate Emergency&page=1,1,1,00:00:59,0.00%,0.00%
/dataset?q=&tag=monitoring&topics=452ec79e-b507-4ba6-8f19-6c7d9c805e5a,1,1,00:00:00,0.00%,100.00%
/dataset?q=admissions,1,1,00:00:38,0.00%,0.00%
/dataset?q=admissions&format=pdf,1,1,00:00:00,0.00%,100.00%
/dataset?q=bicycle,1,1,00:00:00,100.00%,100.00%
/dataset?q=Blr044,1,1,00:07:23,0.00%,0.00%
